date, name, price 
2022-01-15,بیت کوین, 43065.58 
2022-01-15,اتریوم, 3323.50 
2022-01-15,لایت کوین, 148.84 
2022-01-15,بیت کوین کش, 389.28 
2022-01-15,تتر, 1.00 
2022-01-15,ترون, 0.068180 
2022-01-15,بایننس کوین, 439.58 
2022-01-15,استلار, 0.261858 
2022-01-15,ریپل, 0.777715 
2022-01-15,دوج کوین, 0.190072 
2022-01-15,دش, 141.55 
2022-01-15,کاردانو, 1.27 
2022-01-15,پولکادات, 27.54 
2022-01-15,سولانا, 145.84 
2022-01-15,آوالانچ, 90.63 
date, name, price 
2022-01-17,بیت کوین,43148.80 
2022-01-17,اتریوم,3327.31 
2022-01-17,لایت کوین,146.35 
2022-01-17,بیت کوین کش,387.97 
2022-01-17,تتر,1 
2022-01-17,ترون,0.070081 
2022-01-17,بایننس کوین,439.58 
2022-01-17,استلار,0.261490 
2022-01-17,ریپل,0.783230 
2022-01-17,دوج کوین,0.182164 
2022-01-17,دش,139.73 
2022-01-17,کاردانو,1.39 
2022-01-17,پولکادات,28.17 
2022-01-17,سولانا,149.80 
2022-01-17,آوالانچ,93.47 
2022-01-17,دلار,273640 
2022-01-17,یورو,312440 
2022-01-17,پوند انگلیس,377700 
2022-01-17,درهم امارات ,75090 
2022-01-17,لیر ترکیه ,20200 
2022-01-17,فرانک سوئیس ,302300 
2022-01-17,یوان چین ,43600 
2022-01-17,ین ژاپن (100 ین) ,240650 
2022-01-17,وون کره جنوبی,230 
2022-01-17,دلار کانادا ,222400 
2022-01-17,دلار استرالیا ,200200 
2022-01-17,دلار نیوزیلند ,189700 
2022-01-17,دلار سنگاپور ,204900 
2022-01-17,روپیه هند ,3690 
2022-01-17,روپیه پاکستان ,1606 
2022-01-17,دینار عراق ,187 
2022-01-17,پوند سوریه,108 
2022-01-17,افغانی ,2610 
date, name, price 
2022-02-09,بیت کوین,43972.01 
2022-02-09,اتریوم,3180.82 
2022-02-09,لایت کوین,137.84 
2022-02-09,بیت کوین کش,343.72 
2022-02-09,تتر,1.00 
2022-02-09,ترون,0.069073 
2022-02-09,بایننس کوین,439.58 
2022-02-09,استلار,0.242379 
2022-02-09,ریپل,0.883661 
2022-02-09,دوج کوین,0.158370 
2022-02-09,دش,115.72 
2022-02-09,کاردانو,1.20 
2022-02-09,پولکادات,21.95 
2022-02-09,سولانا,114.50 
2022-02-09,آوالانچ,89.28 
2022-02-09,دلار,260860 
2022-02-09,یورو,298110 
2022-02-09,پوند انگلیس,355940 
2022-02-09,درهم امارات ,71610 
2022-02-09,لیر ترکیه ,19200 
2022-02-09,فرانک سوئیس ,285600 
2022-02-09,یوان چین ,41500 
2022-02-09,ین ژاپن (100 ین) ,227040 
2022-02-09,وون کره جنوبی,220 
2022-02-09,دلار کانادا ,209900 
2022-02-09,دلار استرالیا ,190400 
2022-02-09,دلار نیوزیلند ,177900 
2022-02-09,دلار سنگاپور ,196200 
2022-02-09,روپیه هند ,3490 
2022-02-09,روپیه پاکستان ,1545 
2022-02-09,دینار عراق ,178 
2022-02-09,پوند سوریه,103 
2022-02-09,افغانی ,2800 
2022-02-09, بورس,1284120.5 
2022-02-09, انس طلا,1827.99 
2022-02-09, مثقال طلا,50210000 
2022-02-09, طلا ۱۸,11587000 
2022-02-09, سکه,115780000 
2022-02-09, دلار سنا,247229 
2022-02-09, نفت برنت,91.19 
2022-02-09, تتر,264980 
2022-02-09, بیت کوین,43972.01 
date, name, price 
2022-02-18,بیت کوین,40442.96 
2022-02-18,اتریوم,2896.01 
2022-02-18,لایت کوین,118.47 
2022-02-18,بیت کوین کش,314.88 
2022-02-18,تتر,1.00 
2022-02-18,ترون,0.063643 
2022-02-18,بایننس کوین,439.58 
2022-02-18,استلار,0.204632 
2022-02-18,ریپل,0.781428 
2022-02-18,دوج کوین,0.140674 
2022-02-18,دش,108.46 
2022-02-18,کاردانو,1.03 
2022-02-18,پولکادات,18.21 
2022-02-18,سولانا,94.73 
2022-02-18,آوالانچ,87.47 
2022-02-18,دلار,263290 
2022-02-18,یورو,299150 
2022-02-18,پوند انگلیس,360580 
2022-02-18,درهم امارات ,71670 
2022-02-18,لیر ترکیه ,19300 
2022-02-18,فرانک سوئیس ,288800 
2022-02-18,یوان چین ,42000 
2022-02-18,ین ژاپن (100 ین) ,229850 
2022-02-18,وون کره جنوبی,220 
2022-02-18,دلار کانادا ,207200 
2022-02-18,دلار استرالیا ,192500 
2022-02-18,دلار نیوزیلند ,179900 
2022-02-18,دلار سنگاپور ,197800 
2022-02-18,روپیه هند ,3510 
2022-02-18,روپیه پاکستان ,1552 
2022-02-18,دینار عراق ,180 
2022-02-18,پوند سوریه,104 
2022-02-18,افغانی ,2890 
2022-02-18, بورس,1282411.4 
2022-02-18, انس طلا,1888.96 
2022-02-18, مثقال طلا,52110000 
2022-02-18, طلا ۱۸,12049000 
2022-02-18, سکه,119480000 
2022-02-18, دلار سنا,252329 
2022-02-18, نفت برنت,90.77 
2022-02-18, تتر,265430 
2022-02-18, بیت کوین,40442.96 
